,Sale,weight,ppi,cpu_core,internal_mem,ram,RearCam,battery,pred
387,0,0,0,1,2,0,0,3,1
388,0,0,0,1,2,0,1,0,1
389,0,0,0,1,2,0,1,1,1
390,0,0,0,1,2,0,1,2,1
391,0,0,0,1,2,0,1,3,1
392,0,0,0,1,2,0,2,0,1
393,0,0,0,1,2,0,2,1,1
394,0,0,0,1,2,0,2,2,1
395,0,0,0,1,2,0,2,3,1
396,0,0,0,1,2,0,3,0,1
397,0,0,0,1,2,0,3,1,1
398,0,0,0,1,2,0,3,2,1
399,0,0,0,1,2,0,3,3,1
400,0,0,0,1,2,1,0,0,3
401,0,0,0,1,2,1,0,1,3
402,0,0,0,1,2,1,0,2,3
403,0,0,0,1,2,1,0,3,3
404,0,0,0,1,2,1,1,0,3
405,0,0,0,1,2,1,1,1,3
406,0,0,0,1,2,1,1,2,3
407,0,0,0,1,2,1,1,3,3
408,0,0,0,1,2,1,2,0,0
409,0,0,0,1,2,1,2,1,3
410,0,0,0,1,2,1,2,2,3
411,0,0,0,1,2,1,2,3,3
412,0,0,0,1,2,1,3,0,0
413,0,0,0,1,2,1,3,1,0
414,0,0,0,1,2,1,3,2,0
415,0,0,0,1,2,1,3,3,0
416,0,0,0,1,2,2,0,0,3
417,0,0,0,1,2,2,0,1,3
418,0,0,0,1,2,2,0,2,3
419,0,0,0,1,2,2,0,3,3
420,0,0,0,1,2,2,1,0,3
421,0,0,0,1,2,2,1,1,3
422,0,0,0,1,2,2,1,2,3
423,0,0,0,1,2,2,1,3,3
424,0,0,0,1,2,2,2,0,0
425,0,0,0,1,2,2,2,1,0
426,0,0,0,1,2,2,2,2,3
427,0,0,0,1,2,2,2,3,3
428,0,0,0,1,2,2,3,0,0
429,0,0,0,1,2,2,3,1,0
430,0,0,0,1,2,2,3,2,0
431,0,0,0,1,2,2,3,3,0
432,0,0,0,1,2,3,0,0,3
433,0,0,0,1,2,3,0,1,3
434,0,0,0,1,2,3,0,2,3
435,0,0,0,1,2,3,0,3,3
436,0,0,0,1,2,3,1,0,0
437,0,0,0,1,2,3,1,1,3
438,0,0,0,1,2,3,1,2,3
439,0,0,0,1,2,3,1,3,3
